t,target_x,target_y,target_h_deg,x,y,h_deg
0.052,,,,0.0001,-0.0001,-0.03
0.103,,,,0.0001,-0.0001,-0.03
0.153,,,,0.0001,-0.0001,-0.03
0.204,,,,0.0001,-0.0001,-0.03
0.255,,,,0.0001,-0.0001,-0.03
0.306,,,,0.0001,-0.0001,-0.03
0.356,,,,0.0001,-0.0001,-0.03
0.407,,,,0.0001,-0.0001,-0.03
0.458,,,,0.0001,-0.0001,-0.03
0.509,,,,0.0001,-0.0001,-0.03
0.559,,,,0.0001,-0.0001,-0.03
0.61,,,,0.0001,-0.0001,-0.03
0.661,,,,0.0001,-0.0001,-0.03
0.711,,,,0.0001,-0.0001,-0.03
0.762,,,,0.0002,-0.0002,-0.04
0.813,,,,0.0002,-0.0002,-0.04
0.864,,,,0.0002,-0.0002,-0.04
0.915,,,,0.0002,-0.0002,-0.04
0.965,,,,0.0002,-0.0002,-0.04
1.016,,,,0.0002,-0.0002,-0.04
1.067,,,,0.0002,-0.0002,-0.04
1.117,,,,0.0002,-0.0002,-0.04
1.169,,,,0.0002,-0.0002,-0.04
1.219,,,,0.0002,-0.0002,-0.04
1.27,,,,0.0002,-0.0002,-0.04
1.321,,,,0.0002,-0.0002,-0.04
1.372,,,,0.0002,-0.0002,-0.04
1.422,,,,0.0002,-0.0002,-0.04
1.473,,,,0.0002,-0.0002,-0.04
1.561,,,,0.0002,-0.0002,-0.04
1.611,,,,0.0002,-0.0002,-0.04
1.662,,,,0.0002,-0.0002,-0.04
1.713,,,,0.0002,-0.0002,-0.04
1.763,,,,0.0002,-0.0002,-0.05
1.814,,,,0.0002,-0.0002,-0.04
1.864,,,,0.0002,-0.0002,-0.05
1.915,,,,0.0002,-0.0002,-0.05
1.965,,,,0.0002,-0.0002,-0.05
2.016,,,,0.0002,-0.0002,-0.05
2.067,,,,0.0002,-0.0002,-0.05
2.117,,,,0.0002,-0.0002,-0.05
2.168,,,,0.0002,-0.0002,-0.05
2.219,,,,0.0002,-0.0002,-0.05
2.269,,,,0.0002,-0.0002,-0.05
2.32,,,,0.0002,-0.0002,-0.05
2.37,,,,0.0002,-0.0002,-0.05
2.421,,,,0.0002,-0.0002,-0.05
2.472,,,,0.0002,-0.0002,-0.05
2.524,,,,0.0002,-0.0002,-0.05
2.575,,,,0.0002,-0.0002,-0.05
2.625,,,,0.0002,-0.0002,-0.05
2.676,,,,0.0002,-0.0002,-0.05
2.727,,,,0.0002,-0.0002,-0.05
2.778,,,,0.0002,-0.0002,-0.05
2.829,,,,0.0002,-0.0002,-0.05
2.879,,,,0.0002,-0.0002,-0.06
2.93,,,,0.0002,-0.0002,-0.06
2.98,,,,0.0002,-0.0002,-0.06
3.031,,,,0.0002,-0.0002,-0.06
3.081,,,,0.0002,-0.0002,-0.05
3.132,,,,0.0002,-0.0002,-0.05
3.183,,,,0.0002,-0.0002,-0.06
3.233,,,,0.0002,-0.0002,-0.06
3.283,,,,0.0002,-0.0002,-0.06
3.334,,,,0.0002,-0.0002,-0.06
3.385,,,,0.0002,-0.0002,-0.06
3.435,,,,0.0002,-0.0002,-0.06
3.485,,,,0.0002,-0.0002,-0.06
3.536,,,,0.0002,-0.0002,-0.06
3.587,,,,0.0002,-0.0002,-0.06
3.637,,,,0.0002,-0.0002,-0.06
3.687,,,,0.0002,-0.0002,-0.06
3.738,,,,0.0002,-0.0002,-0.06
3.788,,,,0.0002,-0.0002,-0.06
3.839,,,,0.0002,-0.0002,-0.06
3.89,,,,0.0002,-0.0002,-0.06
3.94,,,,0.0002,-0.0002,-0.06
3.991,,,,0.0002,-0.0002,-0.06
4.041,,,,0.0002,-0.0002,-0.06
4.092,,,,0.0002,-0.0002,-0.06
4.143,,,,0.0002,-0.0002,-0.06
4.193,,,,0.0002,-0.0002,-0.06
4.244,,,,0.0002,-0.0002,-0.06
4.294,,,,0.0002,-0.0002,-0.06
4.344,,,,0.0002,-0.0002,-0.06
4.395,,,,0.0002,-0.0002,-0.06
4.445,,,,0.0002,-0.0002,-0.06
4.496,,,,0.0002,-0.0002,-0.06
4.546,,,,0.0002,-0.0002,-0.06
4.597,,,,0.0002,-0.0002,-0.06
4.648,,,,0.0002,-0.0002,-0.06
4.698,,,,0.0002,-0.0002,-0.06
4.749,,,,0.0002,-0.0002,-0.06
4.8,,,,0.0002,-0.0002,-0.06
4.85,,,,0.0002,-0.0002,-0.06
4.901,,,,0.0002,-0.0002,-0.06
4.952,,,,-0.0,-0.0187,-0.0
5.002,,,,-0.0,-0.0187,-0.0
5.053,,,,-0.0,-0.0187,-0.0
5.104,,,,-0.0,-0.0187,-0.0
5.154,,,,-0.0,-0.0187,-0.0
5.204,,,,-0.0,-0.0187,-0.0
5.255,,,,-0.0,-0.0187,-0.0
5.305,,,,-0.0,-0.0187,-0.0
5.356,,,,-0.0,-0.0187,-0.0
5.406,,,,-0.0,-0.0187,-0.0
5.457,,,,-0.0,-0.0187,-0.0
5.508,,,,-0.0,-0.0187,-0.0
5.559,,,,-0.0,-0.0187,-0.0
5.609,,,,-0.0,-0.0187,-0.0
5.66,,,,-0.0,-0.0187,-0.0
5.71,,,,-0.0,-0.0187,-0.0
5.761,,,,-0.0,-0.0187,-0.0
5.811,,,,-0.0,-0.0187,-0.0
5.862,,,,-0.0,-0.0187,-0.0
5.913,,,,-0.0,-0.0187,-0.0
5.963,,,,-0.0,-0.0187,-0.0
6.014,,,,-0.0,-0.0187,-0.0
6.064,,,,-0.0,-0.0187,-0.0
6.115,,,,-0.0,-0.0187,-0.0
6.165,,,,-0.0,-0.0187,-0.0
6.216,,,,-0.0,-0.0187,-0.0
6.266,,,,-0.0,-0.0187,-0.0
6.317,,,,-0.0,-0.0187,-0.0
6.368,,,,-0.0,-0.0187,-0.0
6.418,,,,-0.0,-0.0187,-0.0
6.469,,,,-0.0,-0.0187,-0.0
6.519,,,,-0.0,-0.0187,-0.0
6.57,,,,-0.0,-0.0187,-0.0
6.621,,,,-0.0,-0.0187,-0.0
6.671,,,,-0.0,-0.0187,-0.0
6.722,,,,-0.0,-0.0187,-0.0
6.772,,,,-0.0,-0.0187,-0.0
6.823,,,,-0.0,-0.0187,-0.0
6.873,,,,-0.0,-0.0187,-0.0
6.924,,,,-0.0,-0.0187,-0.0
6.974,,,,-0.0,-0.0187,-0.0
7.025,,,,-0.0,-0.0187,-0.0
7.075,,,,-0.0,-0.0187,-0.0
7.126,,,,-0.0,-0.0187,-0.0
7.176,,,,-0.0,-0.0187,-0.0
7.227,,,,0.0,0.0,0.0
7.278,,,,0.0,0.0,0.0
7.328,,,,0.0,0.0,0.0
7.379,,,,0.0,0.0,0.0
7.43,,,,-0.0,0.0,0.01
7.481,,,,-0.0,0.0,0.01
7.532,,,,-0.0,0.0,0.01
7.582,,,,-0.0,0.0,0.01
7.633,,,,-0.0,0.0,0.01
7.684,,,,-0.0,0.0,0.01
7.734,,,,-0.0,0.0,0.01
7.785,,,,-0.0001,0.0001,0.01
7.836,,,,-0.0,0.0,0.01
7.887,,,,-0.0,0.0,0.01
7.938,,,,-0.0,0.0,0.01
